addr,name,size,decomp_ok
0800c9d8,FUN_0800c9d8,40,1
0800ca00,thunk_FUN_080110ac,4,1
0800ca04,FUN_0800ca04,12,1
0800ca10,FUN_0800ca10,4,1
0800ca14,FUN_0800ca14,4,1
0800ca18,FUN_0800ca18,10,1
0800ca22,FUN_0800ca22,144,1
0800cab2,FUN_0800cab2,10,1
0800cabc,FUN_0800cabc,10,1
0800cac6,FUN_0800cac6,66,1
0800cb08,FUN_0800cb08,6,1
0800cb0e,FUN_0800cb0e,246,1
0800cb20,FUN_0800cb20,10,1
0800cb2a,FUN_0800cb2a,10,1
0800cb6c,FUN_0800cb6c,126,1
0800cd1a,FUN_0800cd1a,48,1
0800cd4c,FUN_0800cd4c,222,1
0800cf1c,FUN_0800cf1c,38,1
0800cf44,FUN_0800cf44,6,1
0800cf50,FUN_0800cf50,130,1
0800d034,FUN_0800d034,90,1
0800d098,FUN_0800d098,56,1
0800d0f4,FUN_0800d0f4,38,1
0800d11a,FUN_0800d11a,22,1
0800d130,FUN_0800d130,10,1
0800d13c,FUN_0800d13c,48,1
0800d170,FUN_0800d170,4398,1
0800e624,FUN_0800e624,350,1
0800e7d4,FUN_0800e7d4,68,1
0800e818,FUN_0800e818,156,1
0800e8d4,FUN_0800e8d4,92,1
0800e940,FUN_0800e940,24,1
0800e958,FUN_0800e958,18,1
0800e96a,FUN_0800e96a,12,1
0800e978,FUN_0800e978,584,1
0800ebd4,FUN_0800ebd4,236,1
0800ecc4,FUN_0800ecc4,50,1
0800f46c,FUN_0800f46c,90,1
0800f564,FUN_0800f564,36,1
0800f590,FUN_0800f590,18,1
0800f5ac,FUN_0800f5ac,46,1
0800f5e0,FUN_0800f5e0,22,1
0800f5f8,FUN_0800f5f8,144,1
0800f68c,FUN_0800f68c,10,1
0800f764,FUN_0800f764,166,1
0800fa4c,FUN_0800fa4c,340,1
0800fba8,FUN_0800fba8,820,1
0800fc5c,FUN_0800fc5c,144,1
0800fcec,FUN_0800fcec,110,1
0800fd60,FUN_0800fd60,12,1
0800fd70,FUN_0800fd70,48,1
0800fda8,FUN_0800fda8,70,1
0800fdf0,FUN_0800fdf0,482,1
0800ffdc,FUN_0800ffdc,416,1
080101d8,FUN_080101d8,882,1
08010550,FUN_08010550,6,1
08010558,FUN_08010558,344,1
080106c8,FUN_080106c8,146,1
08010784,FUN_08010784,234,1
08010870,FUN_08010870,62,1
080108c4,FUN_080108c4,12,1
080108d4,FUN_080108d4,12,1
080108e4,FUN_080108e4,12,1
080108f4,FUN_080108f4,276,1
08010a28,FUN_08010a28,42,1
08010a54,FUN_08010a54,28,1
08010a74,FUN_08010a74,12,1
08010a84,FUN_08010a84,250,1
08010b90,FUN_08010b90,22,1
08010bac,FUN_08010bac,22,1
08010bc8,FUN_08010bc8,230,1
08010cb4,FUN_08010cb4,22,1
08010cd0,FUN_08010cd0,22,1
08010d08,FUN_08010d08,22,1
08010d24,FUN_08010d24,14,1
08010d38,FUN_08010d38,14,1
08010d4c,FUN_08010d4c,10,1
08010d5c,FUN_08010d5c,14,1
08010d70,FUN_08010d70,220,1
08010e4c,FUN_08010e4c,344,1
08011018,FUN_08011018,116,1
0801108c,FUN_0801108c,12,1
080110ac,FUN_080110ac,16,1
080110c0,FUN_080110c0,40,1
080110e0,FUN_080110e0,10,1
080110f0,FUN_080110f0,30,1
08011114,FUN_08011114,32,1
08011138,FUN_08011138,46,1
08011168,FUN_08011168,82,1
080111c0,FUN_080111c0,44,1
080111f4,FUN_080111f4,4,1
080111f8,FUN_080111f8,38,1
0801121e,FUN_0801121e,38,1
08011244,FUN_08011244,32,1
08011264,FUN_08011264,86,1
080112dc,FUN_080112dc,128,1
08011364,FUN_08011364,6,1
08011370,FUN_08011370,6,1
0801137c,FUN_0801137c,28,1
08011398,FUN_08011398,44,1
080113c4,thunk_FUN_080113c8,2,1
080113c8,FUN_080113c8,18,1
080113d8,FUN_080113d8,10,1
080113e2,FUN_080113e2,6,1
080113e8,FUN_080113e8,4,1
080113ec,FUN_080113ec,10,1
080113f6,FUN_080113f6,46,1
08011424,FUN_08011424,110,1
08011492,FUN_08011492,40,1
080114ba,FUN_080114ba,16,1
080114ca,FUN_080114ca,8,1
080114d2,FUN_080114d2,26,1
080114ec,FUN_080114ec,126,1
08011574,FUN_08011574,70,1
0801168c,FUN_0801168c,24,1
080116a4,FUN_080116a4,18,1
080116bc,FUN_080116bc,112,1
08011730,FUN_08011730,86,1
0801178c,FUN_0801178c,332,1
