nth  paddr      vaddr      len size section type    string
259  0x08012716 0x08012716 4   5            ascii   [F!F
260  0x0801273e 0x0801273e 4   5            ascii   0 ZF
261  0x08012756 0x08012756 4   5            ascii   . ZF
262  0x08012782 0x08012782 4   5            ascii   [F!F
263  0x080127aa 0x080127aa 2   5            ascii   9F
264  0x080127d8 0x080127d8 4   5            ascii   AF8F
265  0x080127f7 0x080127f7 4   5            ascii   pHh@
266  0x080127fc 0x080127fc 7   8            ascii   H`pG\nhS
267  0x08012833 0x08012833 5   7            utf8    )\bсk!
268  0x0801292b 0x0801292b 4   5            ascii    pG0
269  0x0801294d 0x0801294d 6   7            ascii   c\a!\n*\b
270  0x08012994 0x08012994 4   5            ascii   B`I\a
271  0x080129a0 0x080129a0 4   5            ascii   A`pG
272  0x080129ed 0x080129ed 4   5            ascii   I\nh"
273  0x080129f2 0x080129f2 6   7            ascii   p"\n`\nh
274  0x080129f9 0x080129f9 5   6            ascii   C\n`pG
275  0x08012a1a 0x08012a1a 4   5            ascii   )CAc
276  0x08012a51 0x08012a51 6   7            ascii   b\a$\n*\b
277  0x08012ab3 0x08012ab3 4   5            ascii   rB`J
278  0x08012ad7 0x08012ad7 4   5            ascii   rB`J
279  0x08012b13 0x08012b13 4   5            ascii    pG-
280  0x08012b57 0x08012b57 7   8            ascii   `!F@F%b
281  0x08012ba6 0x08012ba6 4   5            ascii   6L #
282  0x08012bea 0x08012bea 7   8            ascii   \f@iF(F\b
283  0x08012c0b 0x08012c0b 4   5            ascii   !(F\b
284  0x08012c15 0x08012c15 4   5            ascii   !(F\b
285  0x08012c1f 0x08012c1f 4   5            ascii   !(F\b
286  0x08012c62 0x08012c62 7   8            ascii   \tI["\rK\b
287  0x08012c8b 0x08012c8b 16  17           ascii    base voltage=%d
288  0x08012c9f 0x08012c9f 61  62           ascii   \b..\src\platform\driver\driver_board_sensor\driver_bdsensor.c
289  0x08012ce0 0x08012ce0 5   6            ascii   hr_bd
290  0x08012d5c 0x08012d5c 4   5            ascii   \\ ,
291  0x08012d89 0x08012d89 7   8            ascii   K2F!F(F
292  0x08012e00 0x08012e00 4   5            ascii   `a F
293  0x08012e46 0x08012e46 3   6            utf8    \nԠh
294  0x08012e6b 0x08012e6b 5   6            ascii   Gqh F
